read_code	icd10_code
A0...	A00-A09
A00..	A00
A000.	A000
A001.	A001
A00z.	A009
A01..	A01
A010.	A010
A011.	A011
A012.	A012
A013.	A013
A01z.	A014
A02..	A02
A020.	A020
A021.	A021
A022.	A022
A0220	A022
A0221	A022D G01XA
A0222	A022D J170A
A0223	A022D M013A
A0224	A022D M902A
A022z	A022
A023.	A021
A02y.	A028
A02z.	A029
A03..	A03
A030.	A030
A031.	A031
A032.	A032
A033.	A033
A03y.	A038
A03z.	A039
A04..	A05
A040.	A050
A041.	A051
A042.	A052
A043.	A048
A044.	A053
A04y.	A058
A04y0	A054
A04z.	A059
A05..	A06
A050.	A060
A051.	A061
A052.	A062
A053.	A064D K770A
A054.	A065D J998A
A055.	A066D G07XA
A056.	A067
A05y.	A068
A05y0	A068
A05y1	A068D N512A
A05y2	A063
A05yz	A068
A05z.	A069
A06..	A07
A060.	A070
A061.	A071
A062.	A073
A063.	A078
A064.	A072
A06y.	A078
A06z.	A079
A07..	A085
A070.	A044
A0700	A040
A0701	A041
A0702	A042
A0703	A043
A071.	A020
A072.	A048
A073.	A048
A0730	A048
A0731	A048
A073z	A048
A074.	A048
A0740	A048
A0741	A048
A0743	A045
A0744	A046
A0745	A048
A074y	A085
A074z	A085
A075.	A049
A076.	A083
A0760	A082
A0761	A083
A0762	A080
A0763	A081
A076z	A083
A07y.	A085
A07y0	A084
A07y1	A083
A07z.	A085
A08..	A09
A080.	A090
A0801	A090
A0802	A090
A0803	A090
A0804	A090
A0805	A090
A080z	A090
A081.	A090
A0810	A090
A0811	A090
A0812	A090
A081z	A090
A082.	A090
A0820	A090
A0821	A090
A082z	A090
A083.	A090
A08z.	A090
A0y..	A085
A0z..	A090
A1...	A169
A10..	A167
A100.	A167
A101.	A167
A10y.	A167
A10z.	A167
A11..	A162
A110.	A162
A111.	A162
A112.	A162
A113.	A164
A114.	A162
A115.	A162
A116.	A162
A117.	A162
A11y.	A162
A11z.	A162
A12..	A165
A120.	A165
A1200	A165
A1201	A165
A1202	A165
A120z	A165
A121.	A163
A1210	A163
A1211	A163
A1212	A163
A121z	A163
A122.	A164
A1220	A164
A1221	A164
A122z	A164
A123.	A164
A124.	A15
A1240	A150
A1241	A151
A1242	A152
A1243	A153
A1244	A154
A1245	A155
A1246	A156
A1247	A157
A125.	A16
A1250	A160
A1251	A161
A1252	A167
A125X	A169
A12y.	A168
A12y0	A168
A12y1	A168
A12y2	A168
A12y3	A168
A12yz	A168
A13..	A170D-A179D
A130.	A170D G01XA
A1300	A170D G01XA
A1301	A170D G01XA
A1302	A170D G01XA
A1303	A178D G050A
A130z	A170D G01XA
A131.	A171D G07XA
A132.	A178D G07XA
A133.	A178D G07XA
A134.	A178D G07XA
A135.	A178D G07XA
A136.	A178D G050A
A1360	A178D G050A
A1361	A178D G050A
A136z	A178D G050A
A13y.	A178D
A13z.	A179D G998A
A14..	A183
A140.	A183D K673A
A14y.	A183D
A14y0	A183D K930A
A14y1	A183D K930A
A14y2	A183D K930A
A14y3	A183D
A14y4	A183D K930A
A14y5	A183
A14yz	A183D
A14z.	A183D
A15..	A180D
A150.	A180D M490A
A151.	A180D M011A
A152.	A180D M011A
A153.	A180D M900A
A154.	A180D H750A
A15x.	A180D M900A
A15y.	A180D M011A
A15z.	A180D
A16..	A181
A160.	A181D N291A
A1600	A181D N291A
A1601	A181D N291A
A1602	A181D N291A
A160z	A181D N291A
A161.	A181D N330A
A162.	A181D N291A
A163.	A181
A164.	A181D N511A
A165.	A181D N518A
A1650	A181D N510A
A1651	A181D N518A
A1652	A181D N511A
A165z	A181D N518A
A166.	A181D N741A
A1660	A181D N741A
A1661	A181D N741A
A166z	A181D N741A
A167.	A181
A1670	A181D N740A
A1671	A181D N741A
A167z	A181
A168.	A181
A16z.	A181
A17..	A18
A170.	A184
A1700	A184
A1701	A184
A1702	A184
A1703	A184
A1704	A184
A1705	A184
A1706	A184
A1707	A184
A1708	A184
A170z	A184
A171.	A184
A1710	A184
A1711	A184
A171z	A184
A172.	A182
A1720	A182
A1721	A182
A1722	A182
A172z	A182
A173.	A185
A1730	A185D H320A
A1731	A185D H190A
A1732	A185D H192A
A1733	A185D H220A
A1734	A185D H192A
A173z	A185
A174.	A186
A175.	A188D E350A
A176.	A187D E351A
A177.	A188D D77XA
A178.	A188D K230A
A17y.	A188
A17y0	A188D I398A
A17y1	A188D I410A
A17y2	A188D I320A
A17y3	A188D K938A
A17y4	A188D K770A
A17yz	A188
A17z.	A188
A18..	A190-A199
A180.	A192
A1800	A190
A1801	A191
A18y.	A198
A18z.	A199
A19..	A199
A1A..	A169
A1A0.	A169
A1y..	A169
A1z..	A169
A2...	A20-A28
A20..	A200-A209
A200.	A200
A201.	A201
A202.	A207
A203.	A202
A204.	A202
A205.	A202
A206.	A203D
A20y.	A208
A20y0	A208
A20y1	A208
A20y2	A208
A20yz	A208
A20z.	A209
A21..	A210-A219
A210.	A210
A211.	A213
A2110	A219
A2111	A213
A2112	A217
A211z	A213
A212.	A212
A213.	A211
A21y.	A218
A21y0	A217
A21y1	A210
A21yz	A218
A21z.	A219
A22..	A220-A229
A220.	A220
A221.	A221D J170A
A222.	A222D K938A
A223.	A227
A224.	A227
A22y.	A228
A22z.	A229
A23..	A230-A239
A230.	A230
A231.	A231
A232.	A232
A234.	A233
A23y.	A238
A23z.	A239
A24..	A240
A25..	A241-A244
A250.	A241
A251.	A242
A26..	A250-A259
A260.	A250
A261.	A251
A26z.	A259
A27..	A280-A289
A270.	A329
A2700	A329
A2701	A327
A2702	A320
A2703	A328D
A2704	A328D
A2705	A328
A2706	A327
A270z	A329
A271.	A269
A2710	A269
A2711	A267
A2712	A260
A2713	A267
A271z	A269
A272.	A280
A2720	A280
A2721	A280
A272z	A280
A273.	A282
A27y.	A288
A27z.	A288
A2y..	A288
A2z..	A289
A3...	A30-A49
A30..	A300-A309
A300.	A305
A3000	A304
A301.	A301
A3010	A302
A302.	A300
A303.	A303
A30y.	A308
A30z.	A309
A31..	A319
A310.	A310
A3100	A310
A311.	A311
A31y.	A318
A31z.	A319
A32..	A369
A320.	A360
A321.	A361
A322.	A368
A323.	A362
A32y.	A368
A32y0	A368D H131A
A32y1	A368D I410A
A32y2	A368D K678A
A32y3	A368D N338A
A32y4	A363
A32y5	A368
A32yz	A368
A32z.	A369
A33..	A370-A379
A330.	A370
A331.	A371
A33y.	A378
A33y0	A378
A33yz	A378
A33z.	A379
A34..	J020,A38X
A340.	J020
A3400	J020
A3401	J040
A3402	J020
A3403	J030
A340z	J020
A341.	A38X
A34z.	J020
A35..	A46X
A36..	A39
A360.	A390D G01XA
A361.	A398D G050A
A362.	A394
A3620	A392
A3621	A393
A363.	A391D E351A
A364.	A395D I520A
A3640	A395D I520A
A3641	A395D I320A
A3642	A395D I398A
A3643	A395D I410A
A364z	A395D I520A
A365.	A390D G01XA+A392
A366.	A390D G01XA+A394
A36y.	A398
A36y0	A398D H481A
A36y1	A398D M010A
A36yz	A398
A36z.	A399
A37..	A35X
A370.	A34X
A38..	A40-A41
A380.	A409
A3800	A400
A3801	A401
A3802	A402
A3803	A403
A3804	A408
A3805	A408+U830
A381.	A412
A3810	A410
A3811	A411
A382.	A403
A383.	A414
A3830	A414+J038
A384.	A415
A3840	A415
A3841	A413
A3842	A415
A3843	A415
A3844	A415
A384z	A415
A38y.	A418
A38z.	A419
A39..	A42
A390.	A428
A391.	A420
A392.	A421
A3921	A421
A3922	A421
A393.	A422
A394.	B479
A395.	A427
A396.	A427
A39y.	A428
A39y0	A430D
A39y1	A431
A39z.	A429
A39z0	B470
A39z1	A439
A39zz	A429
A3A..	A480-A488
A3A0.	A480
A3A00	A480
A3A01	A480
A3A02	A480
A3A03	A480
A3A04	A480
A3A05	A480
A3A06	A480
A3A07	A480
A3A08	A480
A3A09	A480
A3A0A	A480
A3A0B	A480
A3A0C	A480
A3A0D	A480
A3A0E	A480
A3A0F	A480
A3A0z	A480
A3A1.	A488
A3A2.	K908D M148A
A3A3.	A488
A3A4.	A481
A3A40	A482
A3A5.	A484
A3A6.	M726
A3Ay.	A488
A3Ay0	M600
A3Ay1	A483
A3Ay2	A047
A3Ayz	A488
A3B..	B95-B98
A3B0.	A491
A3B00	A491
A3B01	A491
A3B1.	A490
A3B11	A490+U821
A3B12	A490
A3B2.	A491
A3B3.	A498
A3B4.	A498
A3B5.	A492
A3B6.	A498
A3B60	A498
A3B61	A498
A3B6z	A498
A3B7.	A498
A3B8.	U820
A3B80	U820
A3B81	U821
A3B8y	U838
A3B9.	U830,U831
A3B90	U830
A3B9y	U831
A3BA.	U837
A3BB.	U83
A3BBy	U838
A3BBz	U839
A3BC.	A498
A3BD.	A498
A3BE.	A491
A3BF.	U82
A3BF0	U822
A3BF1	U828
A3BF2	U829
A3BX1	B950
A3BX2	B951
A3BX3	B952
A3BX4	B953
A3BX5	B954
A3BX6	B955
A3BX7	B956
A3BX8	B957
A3BX9	B958
A3BXA	B960
A3BXB	B961
A3BXC	B962
A3BXD	B963
A3BXE	B964
A3BXF	B965
A3BXG	B966
A3BXH	B967
A3BXJ	B980
A3BXK	B956+U821
A3BXL	B981
A3By.	A498
A3By0	A498
A3By1	A498
A3By2	A498
A3By3	A493
A3By4	A498
A3By5	A498
A3By6	A498
A3By7	A498
A3By8	A498
A3Byz	A498
A3Bz.	A499
A3C..	A40-A41
A3C0.	A40
A3C00	A400
A3C01	A401
A3C02	A402
A3C03	A403
A3C0y	A408
A3C0z	A409
A3C1.	A412
A3C10	A410
A3C1y	A411
A3C1z	A412
A3C2.	A414
A3C3.	A415
